delta_x,delta_y,rate_pred_s
-13,7,0.0004899824879227933
-12,7,0.0008022406871452432
-11,7,0.0015462531340277028
-10,7,0.002264751013740266
-9,7,0.003642098351456395
-8,7,0.005615872659618019
-7,7,0.008193468019779092
-6,7,0.01190653005156402
-5,7,0.016390541475075515
-4,7,0.021713054579608176
-3,7,0.027224002295626902
-2,7,0.032151803035193716
-1,7,0.03715147209939723
0,7,0.0417943601347215
1,7,0.038826305320957114
2,7,0.033249288207336414
3,7,0.0260920514830397
4,7,0.02175309110477048
5,7,0.015929669184719757
6,7,0.011936459160922229
7,7,0.008518169378572419
8,7,0.005204384004143121
9,7,0.0036148126889275507
10,7,0.0021976690035292548
11,7,0.0014584096435494296
12,7,0.0008404994398015462
13,7,0.0005958466761904278
