theta_x_deg,theta_y_deg,counts
10.309282201090689,-24.054991802544947,14
10.309282201090689,-22.33677810236317,13
10.309282201090689,-18.900350701999603,15
10.309282201090689,-15.463923301636038,11
10.309282201090689,-12.027495901272475,10
10.309282201090689,-10.309282201090694,16
10.309282201090689,-6.872854800727129,28
10.309282201090689,-3.4364274003635664,19
10.309282201090689,-3.552713678800501e-15,25
10.309282201090689,3.436427400363563,33
10.309282201090689,6.872854800727126,24
10.309282201090689,10.309282201090689,20
10.309282201090689,12.02749590127247,17
10.309282201090689,15.463923301636033,10
10.309282201090689,18.9003507019996,12
10.309282201090689,22.336778102363162,16
10.309282201090689,24.054991802544944,7
10.309282201090689,27.49141920290851,12
10.309282201090689,29.209632903090288,15
10.309282201090689,32.64606030345386,7
10.309282201090689,34.364274003635636,6
10.309282201090689,36.082487703817414,2
10.309282201090689,37.8007014039992,3
12.02749590127247,-37.8007014039992,1
12.02749590127247,-36.08248770381742,2
12.02749590127247,-34.36427400363564,3
12.02749590127247,-32.64606030345386,5
12.02749590127247,-29.209632903090295,5
12.02749590127247,-27.49141920290851,8
12.02749590127247,-24.054991802544947,13
12.02749590127247,-22.33677810236317,8
12.02749590127247,-18.900350701999603,12
12.02749590127247,-15.463923301636038,22
12.02749590127247,-12.027495901272475,17
12.02749590127247,-10.309282201090694,14
12.02749590127247,-6.872854800727129,28
12.02749590127247,-3.4364274003635664,30
12.02749590127247,-3.552713678800501e-15,28
12.02749590127247,3.436427400363563,29
12.02749590127247,6.872854800727126,15
12.02749590127247,10.309282201090689,14
12.02749590127247,12.02749590127247,17
12.02749590127247,15.463923301636033,20
12.02749590127247,18.9003507019996,12
12.02749590127247,22.336778102363162,19
12.02749590127247,24.054991802544944,6
12.02749590127247,27.49141920290851,12
12.02749590127247,29.209632903090288,10
12.02749590127247,32.64606030345386,10
12.02749590127247,34.364274003635636,2
12.02749590127247,37.8007014039992,2
15.463923301636033,-36.08248770381742,2
15.463923301636033,-34.36427400363564,1
15.463923301636033,-32.64606030345386,7
15.463923301636033,-29.209632903090295,5
15.463923301636033,-27.49141920290851,5
15.463923301636033,-24.054991802544947,10
15.463923301636033,-22.33677810236317,5
15.463923301636033,-18.900350701999603,12
15.463923301636033,-15.463923301636038,14
15.463923301636033,-12.027495901272475,19
15.463923301636033,-10.309282201090694,11
15.463923301636033,-6.872854800727129,19
15.463923301636033,-3.4364274003635664,20
15.463923301636033,-3.552713678800501e-15,37
15.463923301636033,3.436427400363563,17
15.463923301636033,6.872854800727126,23
15.463923301636033,10.309282201090689,15
15.463923301636033,12.02749590127247,14
15.463923301636033,15.463923301636033,18
15.463923301636033,18.9003507019996,11
15.463923301636033,22.336778102363162,6
15.463923301636033,24.054991802544944,8
15.463923301636033,27.49141920290851,8
15.463923301636033,29.209632903090288,4
15.463923301636033,32.64606030345386,4
15.463923301636033,34.364274003635636,1
15.463923301636033,36.082487703817414,3
15.463923301636033,37.8007014039992,4
18.9003507019996,-37.8007014039992,1
18.9003507019996,-34.36427400363564,3
18.9003507019996,-32.64606030345386,3
18.9003507019996,-29.209632903090295,7
18.9003507019996,-27.49141920290851,5
18.9003507019996,-24.054991802544947,9
18.9003507019996,-22.33677810236317,9
18.9003507019996,-18.900350701999603,14
18.9003507019996,-15.463923301636038,3
18.9003507019996,-12.027495901272475,12
18.9003507019996,-10.309282201090694,17
18.9003507019996,-6.872854800727129,16
18.9003507019996,-3.4364274003635664,15
18.9003507019996,-3.552713678800501e-15,28
18.9003507019996,3.436427400363563,15
18.9003507019996,6.872854800727126,24
18.9003507019996,10.309282201090689,11
18.9003507019996,12.02749590127247,14
18.9003507019996,15.463923301636033,8
18.9003507019996,18.9003507019996,11
18.9003507019996,22.336778102363162,13
18.9003507019996,24.054991802544944,6
18.9003507019996,27.49141920290851,9
18.9003507019996,29.209632903090288,8
18.9003507019996,32.64606030345386,8
18.9003507019996,34.364274003635636,5
